"prev_bot","user_utterance","system_acknowledgement"
"Ah, it's okay if you don't know. I realize I can ask some difficult questions.  Maybe you will find this interesting.  In response to being asked what it felt like being one of the only few non-black actors on set and sometimes the only non-black actor on set, Martin Freeman said ""You think, 'Right, this is what black actors feel like all the time?'"".  Did you know that?","who is your dream star","I do not know who my dream star is."
"That's okay if you haven't seen it before.  Do you want to know more about it?","have you seen the movies language","I do not know if I have seen the movies language."
"Oh, don't worry if you're not sure. I know I can ask some hard questions.  Ouu!  Can you guess what movie genre is my favorite?","do you know the movie turtle","I do not know the movie turtle."
"Nice! I'm glad you're having a good day!  I'm really good, thanks!  I'm curious, What do you like to do in your free time?","yes i like to have feces on my hands","I see, you like to have feces on your hands."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","play games","I see, you like to play games."
"I wish I had more time to play games, but I enjoy talking with people much more.  Do you want to talk about another video game?","how about","I do not know how about."
"We've already talked a bit about chicago bulls.  At this moment, I don't have much more to share about chicago bulls. I will learn more about it later.","who is who hold","I do not know who is who hold."
"Nice! I'm glad you're having a good day!  I'm curious, are you up to something interesting in your free time?","my name is cali","Oh, your name is cali."
"Whoops I think I misheard you.  Can you repeat the movie name please?","do you know movie","I do not know movie."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","what is my name","I do not know what your name is."
"Okay.  I'm curious, What do you like to do in your free time?","check","Oh ok, you like to check."
"That's great.  Finally   someone who I can relate too! I knew we would click the moment this conversation started. I can't wait for technology to be advanced enough so everyone in the world can benefit from it.  artificial intelligence, they are all so amazing to think about.  So, what do you want to talk about?","how many deaths that occur","I do not know how many deaths that occur."
"I do not know how many deaths that occur.","so what is the situation over the world","I do not know what the situation over the world is."
"I do not know what the situation over the world is.","what what are the situation in the world","I do not know what what are the situation in the world."
"Nice! I'm glad you're having a good day!  I'm doing really well, thanks.  I'm curious, What do you like to do in your free time?","i like singing","Oh, you like singing."
"Hi, this is an Alexa Prize Socialbot.  It's really good to meet you!  Do you want to tell me your name?","do you like this song diamond","I do not know if I like this song diamond."
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to feel better?","what do you like doing","I do not know what I like doing."
"Cool! I'd love to hear more about it!","today i'm gonna eat some cereal","Oh, you like today."
"Hi, alexa.  How are you doing today?","hi  how are you doing today","I do not know how I am doing today."
"Okay.  I'm doing really well, thanks.  I'm curious, are you up to something interesting in your free time?","can you know my name","I do not know if I can know your name."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do in your free time?","i like to play","Oh ok, you like to play."
"so   I watched the Oscars red carpet and Tessa Thompson's dress was amazing!  Are you interested in fashion or make-up too?","would you play with legos","I do not know if I would play with legos."
"That's great.  Now, would you prefer a strong scent that stands out, or something lighter and less overwhelming?","why there yeah","I do not know why there yeah."
"Okay.  I'm curious, are you up to something interesting in your free time?","play paw patrol","Oh, you like to play paw patrol."
"Of course, we've been talking about travel for a while.  All righty! tyler, what are your plans for the weekend?","still","Oh ok, still."
